name,position,team_x
George King,DEF,Crystal Palace
Bruno Guimarães Rodriguez Moura,MID,Newcastle
Eiran Cashin,DEF,Brighton
Nathan Patterson,DEF,Everton
Tolu Arokodare,FWD,Wolves
Andrew Moran,MID,Brighton
Adrien Truffert,DEF,Bournemouth
Enes Ünal,FWD,Bournemouth
Dário Luís Essugo,MID,Chelsea
Aaron Ramsdale,GK,Newcastle
Moisés Caicedo Corozo,MID,Chelsea
Taiwo Awoniyi,FWD,Nott'm Forest
Joél Drakes-Thomas,MID,Crystal Palace
Conor Gallagher,MID,Spurs
Niall Huggins,DEF,Sunderland
Konstantinos Tsimikas,DEF,Liverpool
Adam Smith,DEF,Bournemouth
Tyrone Mings,DEF,Aston Villa
Luke Shaw,DEF,Man Utd
James Rowswell,DEF,Spurs
Aaron Hickey,DEF,Brentford
Sékou Koné,MID,Man Utd
Ryan McAidoo,MID,Man City
Jordan Pickford,GK,Everton
Enzo Barrenechea,MID,Aston Villa
Pau Torres,DEF,Aston Villa
Bart Verbruggen,GK,Brighton
Tariq Lamptey,DEF,Brighton
Ashley Barnes,FWD,Burnley
Travis Patterson,DEF,Aston Villa
George Hemmings,MID,Aston Villa
Sverre Nypan,MID,Man City
Josh Acheampong,DEF,Chelsea
Igor Jesus Maciel da Cruz,FWD,Nott'm Forest
Illia Zabarnyi,DEF,Bournemouth
Julián Araujo Zúñiga,DEF,Bournemouth
Milos Kerkez,DEF,Liverpool
Lamare Bogarde,DEF,Aston Villa
Dermot Mee,GK,Man Utd
Alisson Becker,GK,Liverpool
Fabian Schär,DEF,Newcastle
Marc Cucurella Saseta,DEF,Chelsea
Norberto Murara Neto,GK,Bournemouth
Max Weiß,GK,Burnley
Amad Diallo,MID,Man Utd
Jorge Cuenca Barreno,DEF,Fulham
Oliver Sonne,DEF,Burnley
Edson Álvarez Velázquez,MID,West Ham
Yankuba Minteh,MID,Brighton
Eberechi Eze,MID,Arsenal
Lewis Orford,MID,West Ham
Simon Adingra,MID,Sunderland
Alexander Isak,FWD,Liverpool
Dominic Solanke-Mitchell,FWD,Spurs
Rodrigo Bentancur,MID,Spurs
Patrick Dorgu,DEF,Man Utd
Ayden Heaven,DEF,Man Utd
James Tarkowski,DEF,Everton
Facundo Buonanotte,MID,Leeds
Jack Moorhouse,MID,Man Utd
Carlos Henrique Casimiro,MID,Man Utd
José Malheiro de Sá,GK,Wolves
Callan McKenna,GK,Bournemouth
Fábio Freitas Gouveia Carvalho,MID,Brentford
Sean Neave,FWD,Newcastle
Luis Díaz Marulanda,MID,Liverpool
Joe Hodge,MID,Wolves
Sander Berge,MID,Fulham
Tanaka Ao,MID,Leeds
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest
Matty Cash,DEF,Aston Villa
Bendito Mantato,MID,Man Utd
Bruno Borges Fernandes,MID,Man Utd
Stefanos Tzimas,FWD,Brighton
Daniel Bentley,GK,Wolves
Marcus Rashford,MID,Man Utd
TJ Carroll,DEF,Aston Villa
Rico Henry,DEF,Brentford
Samuel Iling-Junior,MID,Aston Villa
Abdallah Sima,MID,Brighton
Tosin Adarabioyo,DEF,Chelsea
Sam Greenwood,MID,Leeds
Jarrad Branthwaite,DEF,Everton
Ethan Pinnock,DEF,Brentford
Wellity Lucky,DEF,Liverpool
Alex Cairns,GK,Leeds
Mateo Joseph Fernández-Regatillo,FWD,Leeds
Kai Havertz,FWD,Arsenal
Raúl Jiménez Rodríguez,FWD,Fulham
Brian Brobbey,FWD,Sunderland
Evann Guessand,MID,Crystal Palace
Kaye Furo,FWD,Brentford
Antony dos Santos,MID,Man Utd
Tyler Onyango,MID,Everton
